No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
3242,"pas lagi butuh cash, tauÂ² maintenance. app g bisa tarik tunai ( kecewa )","when you need cash, you know maintenance. the app can't withdraw cash (disappointed)",netral,netral,negatif
3243,Dari beberapa mbangking yg saya pake.. Cuma ini yg bikin emosi.. Eror terus Udah nlp ke call center udah via email ttp ga ada solusi,Of the several mbangkings that I use.. This is the only one that makes me emotional.. The error keeps going. I've called the call center and via email but there's no solution,negatif,netral,negatif
3244,Sampai saat ini sangat membantu setiap transaksi saya. ðŸ‘ðŸ™‚,"Until now, it has been very helpful in every transaction I make. 👍🙂",positif,netral,positif
3245,Ok,Ok,positif,positif,netral
3246,"Ni kenapa ya gak bisa log in octomobile nya...sore ini, pdhl mau isi ulang token listrik... lwt octomobile apa ada gamgguan..","This is why I can't log in to the octomobile... this afternoon, even though I want to top up the electricity token... is there a problem with the octomobile...",negatif,netral,negatif
3247,Mantap,Great,positif,positif,positif
3248,"Kalo ada bintang nol mau deh di kasih, apk+bank sering eror, gabisa masuk ke apk nya code ga muncul , atm dan kantor bank jauh tidak merata. Ambil di *rilink gabisa eror ah kacauðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž","If there were zero stars, I would give it, apk+bank often has errors, I can't enter the apk, the code doesn't appear, ATMs and bank offices are very uneven. Take it at *rilink can't get an error, it's a mess👎👎👎👎👎",netral,netral,negatif
3249,Membantu sekali,Very helpful,positif,positif,positif
3250,Tolong lah sinyal dah full 4G Masih aja lemot banget saat bagian beranda haduhh,"Please, the signal is full 4G. It's still really slow on the home page, hahaha",positif,netral,negatif
3251,Mantap,Great,positif,positif,positif
3252,Mantaaaab sudah normal lagiii,Mantaab Subah Normal Logiy,netral,netral,positif
3253,Mudah Dan tidak dikenakan pulsa lgi,It's easy and doesn't cost you any credit,positif,positif,positif
3254,Ok lh,Ok lh,positif,positif,positif
3255,Mantap tingkatkan terus pelayanan nya bagi nasabah â¤ï¸,Steadily continue to improve service for customers ❤️,positif,positif,positif
3256,aplikasi tolol,stupid app,negatif,negatif,negatif
3257,Aku suka punya akun di bank niaga transfer tdk pakai biaya dg cicilan 3 bln 0% nya aku tertolong sekali tdk ada riba nya dan berharap sekali Cicilan 6 bln dan selanjutnya jg 0 %,"I like having an account at a commercial bank, transfers without fees, with 3 month installments at 0%, it really helps me, there is no usury and I really hope that the installments for 6 months and beyond are also 0%",positif,netral,positif
3258,"Gimana ini masuk mbanking octo ga bisa mulu, kluar ga jelas mulu. Perbaikin dong min sistem nya","How to get into Mbanking Octo doesn't work all the time, getting out isn't always clear. Please fix the system, bro",negatif,netral,negatif
3259,"Bagus, mempermudah saya. Trims","Great, makes things easier for me. Thanks",positif,positif,positif
3260,Bagus,Good,positif,positif,positif
3261,"Tidak pernah bisa login, octo sekarang kurang bagus, lebih bagus yg dulu daripada yg sekarang aplikasinya ðŸ˜ª","Can never log in, octo is not good now, the previous application is better than the current one 😪",positif,netral,negatif
3262,Ko ada denda takhwid 100 ribu belom jatuh tempo nggak jelas utangnya bkn berkurang d bayar kan makin nambah syariah ktanya ga jelas,"How come there is a ta'widh fine of 100 thousand which is not due yet, it is not clear, the debt is not reduced and paid, it increases the sharia, the question is not clear",negatif,netral,negatif
3263,Selalu membantu sekali setiap transaksi yg saya butuhkan,Always very helpful with every transaction I need,positif,positif,positif
3264,Keren,Keren,netral,netral,positif
3265,Terimakasih sangat membantu,Thank you very helpful,positif,positif,positif
3266,Bagus,Good,positif,positif,positif
3267,kerenn,kerenn,netral,netral,positif
3268,Saya pemakai SIM NIAGA.,I am a BUSINESS SIM user.,netral,netral,positif
3269,Ok and good,Ok and good,positif,positif,positif
3270,Aplikasinya berat. Kalo mau transaksi kena potong pulsa. aplikasinya juga sering gak bisa di buka.,"The application is heavy. If you want to make a transaction, your credit will be deducted. the application also often cannot be opened.",positif,netral,negatif
3271,Aplikasi sering crash semoga update selanjut nya stabil baru bintang 5 lagi,The application often crashes. Hopefully the next update will be stable and then get 5 stars again,positif,netral,negatif
3272,keren,keren,netral,netral,positif
3273,Bagus sekali membantu perbankan,Very good for helping with banking,positif,positif,positif
3274,"Buset gara2 gw ganti hp ga bisa buka Octo mobile, ATM lu pada ga bener lu cek atm di pom bensin joglo sama di pom mencong bikin kartu ketelen , giliran ketelen aplikasi Octo mobile bikin ribet , perbarui fasilitas kirim kode otp ke wa / Gmail / via tlp jangan jadul banget dari sms","It's bad because I changed my cellphone and I can't open Octo mobile, your ATM isn't working properly. You check the ATM at the Joglo gas station and at the Mencong station, make a ketelen card, it's your turn to go to the Octo mobile application which makes it complicated, update the facility, send OTP code to WA / Gmail / via Call, don't be too late for SMS",negatif,netral,negatif
3275,"Rekening ponsel saya tidak bisa di akses, padahal masih ada uang yg mengendap, lumayan buat beli beras.","I can't access my cellphone account, even though there is still money in the bank, enough to buy rice.",netral,netral,negatif
3276,Hadeh kenapa saya mau login keluar trus,"Hey, why do I want to log in and then leave?",netral,netral,negatif
3277,Simple,Simple,netral,netral,positif
3278,"Ini saya mau transfer kok ga bisa ya ? Katany aplikasi in ad bug, ga ada piluhan rekening cuma ada octo pay.","I want to transfer this, why can't I? He said the application had a bug, there were no account choices, there was only Octo Pay.",negatif,netral,negatif
3279,Bagus...banyak promonya...cashback uang ...bukan poin...mantaplah,Good...lots of promotions...money cashback...not points...great,netral,positif,negatif
3280,Bisa menghemat biaya transaksi,Can save transaction costs,positif,positif,positif
3281,Jadi simple gak ribet dengan octo,"So it's simple, not complicated with octo",netral,netral,positif
3282,Oke sangat membantu,"OK, very helpful",positif,positif,positif
3283,susah log in,hard to log in,negatif,netral,positif
3284,tidak berfungsi sejak update minggu kemaren.. payah.... mana udah kebiasa pake m-banking cimb malah mengecewakan parah..,it hasn't worked since last week's update... it's a bummer... when I'm used to using CIMB m-banking it's really disappointing...,netral,netral,negatif
3285,Membantu segala transaksi,Help with all transactions,positif,positif,positif
3286,"User ID saya diblokir saya hubungi TPI tidak ada respon samasekali, sumpah sangat mengecewakan","My user ID was blocked, I contacted TPI, there was no response at all, I swear, it was very disappointing",negatif,netral,negatif
3287,Praktis,Practical,netral,netral,positif
3288,Apa cuma saya yang ngerasa ga bisa pake aplikasi ini dengan lancar,Am I the only one who feels like I can't use this application smoothly?,positif,netral,negatif
3289,Sangat membantu,Very helpful,positif,positif,positif
3290,"Aneh nih apk,bukannya membantu malah bikin pusing","This apk is strange, instead of helping, it actually makes you dizzy",negatif,netral,negatif
3291,Tidak bisa dibuka,Can not be opened,netral,netral,negatif
3292,Apa apaan ini login ga bisa2 udh coba berulang kali masih harus masukin pass code,What's this? I can't log in. I've tried several times and I still have to enter the pass code,netral,netral,negatif
3293,ko sekarang jadi susah login.tidak terhubung ke internet? apa harus pakai seluler terus? tidak bisa pakai wifi? pake seluler lancar pakai wifi ga bisa login tulisannya tidak ada internet,why is it so difficult to log in now? Not connected to the internet? Do I have to keep using cellular? can't use wifi? using cellular smoothly using wifi can't log in it says no internet,negatif,netral,negatif
3294,"Untuk teman2 yang mengalami aplikasi force close, bisa dicoba cara sbb: 1. Uninstall aplikasi OCTO Mobile 2. Restart HP 3. Install lagi aplikasi OCTO Mobile 4. Login ulang 5. Berhasil Mudah2an bermanfaat...Aamiin...","For friends who experience the application force closing, you can try the following method: 1. Uninstall the OCTO Mobile application 2. Restart the cellphone 3. Install the OCTO Mobile application again 4. Log in again 5. Success. Hope it's useful... Aamiin...",positif,netral,negatif
3295,Kejadiannya sama setelah di update malah ga bisa login ... Hmmm Padahal sebelum di update juga bisa bisa aja,"The same thing happened after the update, I couldn't even log in... Hmmm, even though before the update it was possible",netral,netral,negatif
3296,User Frendly,User Friendly,positif,positif,positif
3297,ok,ok,positif,positif,netral
3298,Sumpah aplikasi gk guna bangett pulsa ada paket data ada memori masih sisa 2GB tapi tetep gk bisa masuk bukannya mempermudah malah tambah bikin susah,"I swear the application doesn't really work, credit, there's a data package, there's still 2GB of memory left, but it still can't log in, instead of making it easier, it makes it more difficult.",negatif,netral,negatif
3299,Very Good!!! â­â­â­â­â­ So Smart !! ðŸ‘ðŸ‘,Very Good!!! ⭐⭐⭐⭐⭐ So Smart !! 👍👍,positif,positif,positif
3300,Makin di update makin ga jelas ni apk octo nya Masa iya baru update langsung force close terus Dah berulang di coba tetap ga bisa,"The more it is updated, the more unclear it is about the octo apk. Yes, just update it straight away and force close. I've tried it again and again but it doesn't work.",positif,netral,negatif
3301,Gaji numpang lewat ðŸ˜,Salary is passing by 😁,netral,netral,negatif
3302,Aplikasi lemot gak jelasss,The application is slow and not clear,negatif,positif,negatif
3303,"Nice, faster anda free TF 20x","Nice, faster anda free TF 20x",positif,positif,positif
3304,"Habis update malah tidak bisa login , muncul tulisan perangkat tidak bisa mengakses go mobile .","After the update, I can't even log in, it says the device can't access go mobile.",netral,netral,negatif
3305,"Bintang 1, pascode tidak terkirim, udah coba puluhan kali, gd kode otp yg masuk ke nomer saya, tolong di perbarui, saya mau login user id, gagal karena gd kode otp","1 star, passcode not sent, have tried dozens of times, gd otp code entered my number, please update, i want to log in user id, failed because gd otp code",negatif,netral,negatif
3306,Terimakasih Sangat berguna dan bermanfaat,Thank you. Very useful and beneficial,positif,positif,positif
3307,Mudah dan cepat,Easy and fast,positif,positif,positif
3308,"Sudah update tetap saja tidak bisa login. Malah ada notif ""perangkat anda belum dapat digunakan untuk mengakses OCTO mobile"" parah iniðŸ¤¦ðŸ¼â€â™‚ï¸ðŸ¤¦ðŸ¼â€â™‚ï¸","Already updated, still can't log in. In fact, there is a notification ""your device cannot be used to access OCTO mobile"" this is terrible🤦🏼‍♂️🤦🏼‍♂️",netral,netral,negatif
3309,Oke,Too much,netral,netral,netral
3310,CIMB clik ok,CIMB click ok,positif,positif,positif
3311,transfer tanpa ribet,hassle-free transfer,netral,netral,positif
3312,Ok,Ok,positif,positif,netral
3313,ko setelah di update isi rekening pin atm nomor ponsel..malah eror gbisa login..sebelum di update lancar lancar aj...,"How come after updating, fill in your ATM account cell phone number pin... but there's an error and I can't log in... before updating it was running smoothly...",negatif,netral,negatif
3314,"Ribet ga bisa login, dari dulu masalah mulu ni aplikasi","It's a hassle not being able to log in, this has always been a problem with the application",negatif,netral,negatif
3315,Emang mantap nih aplikasi Octo mobile,The Octo mobile application is really great,positif,positif,positif
3316,setiap aplikasi pasti keluar sendiri,each application must exit itself,netral,netral,negatif
3317,Di hp Oppo A54s tidak support,On the Oppo A54s cellphone it doesn't support it,negatif,netral,negatif
3318,"Octo mobile nge leg trs buka 1 detik hilang lg ky gt trs , hingga install ulang bbrp kali bikin kecewa aja , pdhl sblm nya bagus knp skrng jd jelek , tolong diperbaiki bug nya","Octo mobile lags and then opens for 1 second, then it disappears again like gt then, until I reinstall it several times, it just makes me disappointed, but before it was good, but now it's bad, please fix the bug.",netral,netral,negatif
3319,Bagus dach...,That's good bro...,positif,positif,positif
3320,App gaje dibuka aja gabisa padahal hp ga di root,I can't even open the gadget app even though the phone isn't rooted,netral,netral,negatif
3321,Saya tidak menerima kode otp padahal jaringan bagus dan memiliki pulsa Rp. 10.000,"I didn't receive the OTP code even though the network was good and I had credit of IDR. 10,000",positif,netral,negatif
3322,"Aplikasi nya ga jelas, cuma minta passcode ge Ampe lama bngt","The application is not clear, it only asks for a ge passcode. It takes a long time",negatif,netral,negatif
3323,"Ada apakah ini update an kemarin membuat foclose terus nih ,coba tolong perbaikin dong ,jangan diem mulu kerja oy kerja","Is there something wrong with yesterday's update, it keeps foclosing, please try to fix it, don't sit still and work, oy work",negatif,netral,negatif
3324,Sangat-sangat membantu serta berguna sekali Simpel juga lengkap fitur2nya,"Very, very helpful and very useful. Simple and complete with features",positif,positif,positif
3325,"Ini apk ngapa knpa yaa, forclose mulu , tolong update yang terbaru Lah, parah amattt","What's wrong with this apk? Forclose now, please update to the latest one. Lah, it's really bad.",negatif,netral,negatif
3326,Terima kasih atas pelayanannya selama ini. Saya pastikan saya tidak pindah selain cimb niaga â˜º,Thank you for your service so far. I make sure I don't move other than CIMB Niaga ☺,positif,netral,positif
3327,Sangat meresahkan.,Very disturbing.,negatif,negatif,negatif
3328,Mantappppp...,Great...,netral,positif,positif
3329,Kalo belum siap buat aplikasi jangan di terbitkan la.. Setelah update malah makin ga bisa di buka.,"If you're not ready to create an application, don't publish it... After the update, you can't even open it.",negatif,netral,negatif
3330,Good,Good,positif,positif,positif
3331,"Ko apk nya jd ga bsa log in ya,, tolong dong d perbaiki, ini gmn?? Mau transaksi jd susah,, hduhh parah,,","If the apk can't log in, please fix it, what happens? If you want to make a transaction, it's going to be difficult, hduhh, it's serious...",negatif,netral,negatif
3332,"Aplikasi close sendiri, bagaimana ini??","The application closes itself, how is this??",netral,netral,negatif
3333,Bagus si ficturnya,The fiction is good,positif,positif,positif
3334,Baik,Good,positif,positif,positif
3335,"Dibandingkan dengan yang lalu, pembayaranCC lebih mudah","Compared with the past, CC payments are easier",positif,netral,positif
3336,Mantabbb,Mantabbb,netral,netral,positif
3337,"Banyak pemakai aplikasi ini yg mengeluh kan force close, kemaren ke bank malah di ejek sama pihak cs ðŸ˜ª, kalau hp nya yang ngga suport. Tolong evalusi ini aplikasi sama attitude cs. Mentang"" pake sandal jepit.","Many users of this application have complained about force closing, yesterday they went to the bank and were even ridiculed by the CS 😪, if their cellphone didn't support it. Please evaluate this application with CS's attitude. Mentang"" wearing flip-flops.",negatif,netral,negatif
3338,Makin oke,It's getting better,positif,positif,positif
3339,Praktis,Practical,netral,netral,positif
3340,Mantappp,Great,positif,positif,positif
3341,mantap,solid,positif,positif,positif
3342,Mangstaab djayaaa,Mangstab Deejay,netral,netral,positif
3343,"Sangat cepat, akurat","Very fast, accurate",netral,netral,positif
3344,Bagus,Good,positif,positif,positif
3345,"Kesulitan untuk login karna, selalu notifikasi perangkat sering gagal akses",Difficulty logging in because the device notifications often fail to access,negatif,negatif,negatif
3346,Makin parah ..status jailbreak trus .pdhal gda apa sdh di cek...mgn di perbaikin segera demi kenyamanan,It's getting worse... the jailbreak status continues... even though nothing has been checked... please fix it immediately for convenience,positif,netral,negatif
3347,"Kenapa udah 3 hari aplikasi ini masih bug, saat coba login tapi tiba tiba log out. Sangat mengecewakan sekali, mengalami gangguan berhariÂ². Tolong segera perbaiki aplikasinya dong.","Why is it 3 days since this application still has a bug, when I try to log in it suddenly logs out. Very disappointing, experiencing problems for days. Please fix the application immediately.",negatif,netral,negatif
3348,Setuju komen orang orang ini kenapa aplk nya ga bisa di bukak tolong dong pihak Octo mobile tolong perbaiki aplk nya,"Agree with these people's comments, why can't the app be opened? Octo mobile, please fix the app.",positif,netral,negatif
3349,Good,Good,positif,positif,positif
3350,Kenapa setiap saya mau login sering keluar dari aplikasi dengan sendirinya!!! Tolong di perbaiki menyusahkan saya untuk transaksi! Saya jadi tidak bisa transaksi dengan go mobile!,Why does every time I want to log in the application often exit by itself!!! Please fix it making it difficult for me to make transactions! So I can't make transactions using go mobile!,positif,netral,negatif
3351,Susah,Difficult,negatif,negatif,negatif
3352,Sangat membantu,Very helpful,positif,positif,positif
3353,Saya udah isi saldo saya tapi sampe sekarang belum nyampe padahal transaksi sudah berhasil,I've topped up my balance but until now it hasn't arrived even though the transaction was successful,positif,netral,negatif
3354,"apk nya kok jadi begini ya, mau buka apk tdk bisa langsung tiba"" keluar, atau apk berhenti secara tiba'', tolong lah pihak penerbit di perbaiki masalah nya,","Why does the apk look like this? If you want to open the apk, it won't come out immediately, or the apk will stop suddenly'', please fix the problem with the publisher.",positif,netral,negatif
3355,"Gimana sih pihak bank ya login mbanking tapi ga dikasih passcode ya pdhl pls ada , tolong diperbarui aga mudah seperti mbanking bca sama mandiri dong masuk aja ribet","What's wrong with the bank, you can log in to mbanking but you won't be given a passcode, but pls have one, please update it so it's as easy as mbanking, BCA and Mandiri, just entering is complicated.",positif,netral,negatif
3356,Mudah aksesnya,Easy access,positif,positif,positif
3357,Ok lancar,Ok smooth,positif,positif,positif
3358,Ok,Ok,positif,positif,netral
3359,Sangat bagus,Very good,positif,positif,positif
3360,"Oke,mantap","OK, great",positif,positif,positif
3361,Mantap,Great,positif,positif,positif
3362,Di update error mulu parah,"In the update, the errors were always serious",negatif,netral,negatif
3363,Mantap,Great,positif,positif,positif
3364,Beberapa Minggu ini sulit transaksi pakai Octo mobile..entah sampai kapan dibuat sulit seperti ini. Dibuka nutup sendiri..,"For the past few weeks, it has been difficult to make transactions using Octo mobile... I don't know how long it will be difficult like this. Opened and closed by itself..",negatif,netral,negatif
3365,Kenapa setelah d update latest aplikasinya gak bisa jalan d xiaomi 12 ?,Why can't the application run on the Xiaomi 12 after the latest update?,netral,netral,negatif
3366,Mantul,Really good,positif,positif,positif
3367,Bagus pokoknya,Basically good,positif,positif,positif
3368,"Apk nya kereeeen. Sangat mudah digunakan, proses transaksi nya cepat, bebas admin sehingga sangat membantu. Terimakasih","The apk is cool. Very easy to use, the transaction process is fast, admin free so it is very helpful. Thank You",positif,positif,positif
3369,"versi terbaru 3.1.03 tidak bisa dibuka, udh coba minta bantu cabang terdekat tetap aja gak bisa.. aplikasi sampah!!! kita itu yg punya uang kenapa kita yang susah dan repot.. mau kembali ke zaman batu apa yg cuma bisa transaksi via ATM saja?!?","The latest version 3.1.03 can't be opened, I've tried asking the nearest branch for help but it still doesn't work... the application is rubbish!!! We are the ones who have money, why are we the ones who are in trouble and trouble... do you want to go back to the stone age where you can only make transactions via ATM?!?",negatif,netral,negatif
3370,Kereeeen,Kereeeen,netral,netral,positif
3371,Aneh aplikasi dulu biasa aja sekarang malah gabisa di buka ada tulisan aplikasi tidak bisa di gunakan di perangkat anda,"It's strange that the application used to be normal, but now it can't be opened, it says the application cannot be used on your device",negatif,netral,negatif
3372,"Mengecewakan, setelah di update malah tdk bs di buka aplikasi nya, sdh di email ke jg ke 1404 tdk ada respon, kalau hrs ke atm utk transaksi apa gunanya ada octomobile","Disappointing, after updating I can't even open the application, I emailed 1404, no response, if you have to go to an ATM for transactions, what's the point of having Octomobile?",negatif,netral,negatif
3373,Niceeeee,Niceeeee,netral,netral,positif
3374,Eror apa gmna nh octo ? Foreclose mulu dah,"What's the error, octo? Force Close now",negatif,netral,negatif
3375,Knpa gangguan?,Why the disturbance?,negatif,negatif,netral
3376,"Dlu TDK prnh ada masalah loo, SMKN di perbarui apknya SMKN gak bisa ngecek saldoo atau transaksi. Kenapa sihhh CIMB ini skrng kok gnii","In the past there was never a logo problem, SMKN updated the apk and SMKN couldn't check balances or transactions. Why is CIMB like this now?",positif,netral,negatif
3377,"Layanannya bagus, mudah juga pengoperasiannya, tetapi sejak instal aplikasi ini, sering muncul iklan2 yang tidak relevan. Mau melakukan transaksipun selalu muncul iklan2 terus membuat capek","The service is good, easy to operate, but since installing this application, irrelevant advertisements often appear. Even if you want to make a transaction, advertisements always appear and make you tired",negatif,netral,netral
3378,"Baru nyoba, bagus sangat membantu","Just tried it, good, very helpful",positif,positif,positif
3379,Good job,Good job,positif,positif,positif
3380,Aplikasi bagus,Good app,positif,positif,positif
3381,Sekarang sdh bagus. Pakai sidik jari login jadi gampang. Banyak menu dan featurnya. Selamat.,Now it's good. Using your fingerprint to log in is easy. Many menus and features. Happy.,positif,positif,positif
3382,Oke banget paling keren deh di banding yg lain,"OK, it's really cool compared to the others",positif,positif,positif
3383,"Di upgrade malah tidak bisa masuk lagi..alasan kendala ponsel, terus kemaren bisa setelah di upgrade malah gak bisa login.. NYUSAHIN ORANG SIH","When I upgraded, I couldn't log in anymore... the reason was cellphone problems, then yesterday after upgrading I couldn't even log in... IT'S A BREAK FOR PEOPLE.",negatif,netral,negatif
3384,"Aplikasi nya sering nge bug keluar sendiri, tidak bisa dipakai",The application often bugs itself and can't be used,netral,netral,negatif
3385,Sangat puas,Very satisfied,positif,positif,positif
3386,Good sy sngt terbantu pakai octo sangat membantu dan mudah,"Good, I was really helped, using Octo is very helpful and easy",positif,positif,positif
3387,"System CIMB mendeteksi ada aplikasi ke 3 yang mencurigakan membuat system tidak bisa dibuka, ditanya aplikasinya apa ga tahu, ydh ganti hp baru bisa.","The CIMB system detected a third suspicious application that made the system unable to be opened, asked what the application was or didn't know, just changed the cellphone and then it worked.",negatif,netral,netral
3388,Aplikasi tidak bisa di akses sudah beberapa hari. Mengganggu pekerjaan. Mengganggu aktivitas sehari-hari. Dampak yg ditimbulkan pun sangat sangat sangat menggangu sekali.,"The application has not been accessible for several days. Disrupting work. Disrupts daily activities. The resulting impact is very, very disturbing.",negatif,netral,negatif
3389,Mohon maaf saat ini perangkat anda tidak dapat di gunakan. M Banking paling busuk,"Sorry, your device cannot be used at this time. M Banking is the worst",negatif,netral,negatif
3390,Lebih mudah dari pada Octo clik,Easier than Octo click,positif,positif,positif
3391,Sangat baik pelayanannya. Terimakasih.,Very good service. Thank You.,positif,positif,positif
3392,"udah lah mulai sekarang males pake octo hp normal tp terdeketsi tidak bisa di gunakan, yaelah mbanking BCA aja normal ko lancar jaya, kayanya octo mobile aja yg bermasalah","It's okay, from now on I'm feeling lazy about using a normal Octo cellphone but it's detected that I can't use it, so BCA banking is normal, it's running smoothly, it seems like it's just the Octo Mobile that's the problem",negatif,netral,negatif
3393,Semakin kesini semakin bobrok aplikasi ini .sumpah gak bermanfaat lama2 bikin jengkel buat pengguna ..ada LG gak nilai lebih minus LG dr bintang 1 buat aplikasi ini untuk sekarang ..,"This application is getting more and more dilapidated. I swear it won't be useful for long, it's annoying for users.. LG doesn't have any more value minus LG than 1 star for this application for now...",negatif,netral,negatif
3394,Saya sangat suka ada octo mobile ini transaksi enak dan aman,"I really like Octo Mobile, this transaction is delicious and safe",positif,positif,positif
3395,Cimb niaga the best,Do business the best,positif,positif,positif
3396,Mantap,Great,positif,positif,positif
3397,"Ya ampun.. udah berbulan2 sy pake masih aja kena bug terus. Ampun deh. Mau transaksi harus ngelus dada mulu nih. Trs kalau lagi lupa bawa atm, lebih parah. Jd ga enak sm yg pd antri di atm. Tolong donk ditingkatkan lagi.","Oh my gosh... I've been using it for months and I still keep getting bugs. I'm sorry. If you want to make a transaction, you have to stroke your chest first. But if you forget to bring an ATM, it's even worse. So it's not nice for those queuing at the ATM. Please improve it again.",negatif,netral,negatif
3398,bagus sekali,very good,positif,positif,positif
3399,"Eror mulu dah ,close2 terus kacau","It's an error, close2 keeps messing up",negatif,netral,negatif
3400,"Tidak bisa masuk ke aplikasi, setiap dibuka langsung keluar sendiri","Can't enter the application, every time it is opened it immediately exits itself",netral,netral,negatif
3401,Kereenn,Kereenn,netral,netral,positif
3402,Sangat sering kesulitan membuka octo mobile. Habis waktu bolak balik mencoba.,Very often it is difficult to open octo mobile. It's time to go back and forth trying.,negatif,netral,negatif
3403,Setelah daftar dsn mencoba login tapi passcode tidak pernah masuk ke ponsel.juga aplikasi berjalan lambat.padahal userid sudah di cek berulang-ulang.,"After registering, I tried logging in but the passcode never entered the cellphone. The application also ran slowly, even though the user ID had been checked repeatedly.",netral,netral,negatif
3404,Udah daftar bener pas mau transfer ke bank lain ko ga bisa yahh,"I had registered properly when I wanted to transfer to another bank, but I couldn't do it",netral,netral,negatif
3405,Mantabbb !!!!!,Mantabbb !!!!!,netral,netral,positif
3406,Transaksi cepat mudah dan aman,"Fast, easy and safe transactions",positif,positif,positif
3407,"Sejak update bulan lalu, saya tidak bisa masuk ke aplikasi, force close, keterangannya: perangkat yang digunakan kemungkinan telah di-root/jailbreak. Padahal ori. Semua aplikasi banking di hape saya ini lancar saja, ada BSI BCA BRI Mandiri BTN Permata Panin Mega. Tolong di-update lagi supaya OCTO Mobile lancar di Xiaomi Redmi 6. Saya sudah ke CS Video di Digital Lounge tidak ada solusi.","Since the update last month, I can't enter the application, force close, the statement says: the device used may have been rooted/jailbroken. Even though it's original. All banking applications on my cellphone run smoothly, there is BSI BCA BRI Mandiri BTN Permata Panin Mega. Please update again so that OCTO Mobile runs smoothly on Xiaomi Redmi 6. I've been to CS Video at Digital Lounge and there's no solution.",positif,netral,negatif
3408,Hahaha lemot LG..cukup turunin ðŸŒŸ jadi 2,Hahaha LG is slow...just reduce 🌟 to 2,positif,positif,negatif
3409,Mantap,Great,positif,positif,positif
3410,Mantep lh,It's stable,positif,positif,positif
3411,"Aplikasi kasih anda error terus, selalu mentok di logo, Malah di bilang Hp sya di Root lah","The application keeps giving you errors, always stuck at the logo, instead it says my cellphone is rooted",negatif,netral,negatif
3412,"Ini kenapa perangkat anda tidak didukung padahal biasanya bisa , payahhhh Kayaknya bakal pindah ke sebelah aja","This is why your device isn't supported even though it usually can, sucks. Looks like it's just going to move to the other side",negatif,netral,negatif
3413,Kenapa saya buka aplikasinya terus keluar sendiri,Why do I open the application and it just exits by itself?,netral,netral,negatif
3414,Kaga bisa login tiba2 keluar sendiri makin parah aj ini aplikasi,"Can't log in and suddenly log out on your own, which makes this application even worse",negatif,netral,negatif
3415,ðŸ‘ðŸ‘ðŸ‘ðŸ‘,👍👍👍👍,netral,netral,positif
3416,Okee,okay,positif,positif,netral
3417,Ini aplikasi gmana sihh...asa stiap msk lgsg kluar.. parahhhhh,"What kind of application is this... every time I ask, it just quits... it's terrible",negatif,netral,negatif
3418,Lah ini gimana login pake user ID pascode gak masuk ke nomor yang terdaftar. harus ada pulsa berapa hah biar bisa di kirim tuh pascode. Kebangetan bangat buat login di bikin susah kaya gitu,This is how logging in using the user ID passcode doesn't go to the registered number. How much credit do you have to have to send the pascode? It's really annoying to make logging in so difficult,negatif,netral,negatif
3419,Akhir akhir ini sering macet ga bisa digunakan tolong perbaiki lagi,"Lately it often crashes and can't be used, please fix it",negatif,netral,netral
3420,Jelek banget ketika log in pake user id salah terus padahal userid nya udah bener. Emang ribet ya Octo mobile kalo bukan tempat kerja pake bank ini males banget saya pake bank ini,"It's really bad when you log in using the wrong user ID even though the user ID is correct. It's really complicated, Octo mobile, if you don't use this bank at work, I'm really lazy about using this bank",negatif,netral,negatif
3421,"Ini kenapa octo? Setiap kali ad perbaruan pasti trouble, diupdate bukan malah lebih baik, malah tambah ga jelas gini","Why is this octo? Every time there is an update there are bound to be problems, updating it doesn't make it better, it actually makes things more unclear",negatif,netral,negatif
3422,Sekarang octo mobil kurang performanya di hp redmi s 2 gk bisa akses octo mobil tolong dong dibenai lagi masak habis pembaruan gak bisa proses kemenu,"Now the octo car is not performing well on the redmi s 2 cellphone, I can't access the octo car, please fix it again, it's running out, the update can't be processed in the menu",positif,netral,negatif
3423,Puas,What?,netral,netral,positif
3424,Abis di update malah makin susah dibuka'y,"After the update, it became even more difficult to open",negatif,netral,negatif
3425,Terimakasi,Thank You,positif,positif,positif
3426,Kenapa ada bug nya keluar sendiri saat login,Why is there a bug that comes out by itself when logging in?,netral,netral,negatif
3427,Setelah di update bukan nya lebih baik malah gak bisa masuk ... hadehh ...,"After the update, it's not better but I can't log in... hadehh...",negatif,netral,negatif
3428,Gratiiis tanoa biaya...mudah dan cepat...kereen bsnk Niaga,Free without fees...easy and fast...kerin Niaga bank,positif,positif,positif
3429,Bagus,Good,positif,positif,positif
3430,Sangat baik,Very good,positif,positif,positif
3431,versi baru tidak bisa dibuka,the new version cannot be opened,netral,netral,negatif
3432,"Ini saya sangat kecewa setelah sekian lama menggunakan octo mobile, habis pulsa saya 10.000 tp tetap saja tdk bisa login ke octo mobile, ini bagaimana pertanggung jawaban dr pihak CIMB NIAGA nya.. Bagaimana cara saya bertransaksi pembayaran dan lain sebagainya..","I'm very disappointed after using Octo Mobile for a long time, I've run out of 10,000 credit but still can't log in to Octo Mobile, this is CIMB NIAGA's responsibility... How do I make payment transactions and so on...",negatif,netral,negatif
3433,sangat baik dan membantuðŸ‘,very kind and helpful👍,positif,positif,positif
